Continent,Country,Capital,Cost of Living Index,Rent Index,Groceries Index,Local Purchasing Power Index,Restaurant Price Index,"Meal, Inexpensive Restaurant (USD)","Meal for 2 People, Mid-range Restaurant, Three-course",McMeal at McDonalds (or Equivalent Combo Meal) (USD),"Domestic Beer (0.5 liter draught, in restaurants) (USD)","Imported Beer (0.33 liter bottle, in restaurants) (USD)","Cappuccino (regular, in restaurants) (USD)","Coke/Pepsi (0.33 liter bottle, in restaurants) (USD)","Water (0.33 liter bottle, in restaurants) (USD)","Milk (regular), (1 liter) (USD)",Loaf of Fresh White Bread (500g) (USD),"Rice (white), (1kg) (USD)",Eggs (regular) (12) (USD),Local Cheese (1kg) (USD),Chicken Fillets (1kg) (USD),Beef Round (1kg) (or Equivalent Back Leg Red Meat) (USD),Apples (1kg) (USD),Banana (1kg) (USD),Oranges (1kg) (USD),Tomato (1kg) (USD),Potato (1kg) (USD),Onion (1kg) (USD),Lettuce (1 head) (USD),"Water (1.5 liter bottle, at the market) (USD)","Bottle of Wine (Mid-Range, at the market) (USD)","Domestic Beer (0.5 liter bottle, at the market) (USD)","Imported Beer (0.33 liter bottle, at the market) (USD)",Cigarettes 20 Pack (Marlboro) (USD),One-way Ticket (Local Transport) (USD),Monthly Pass (Regular Price) (USD),Taxi Start (Normal Tariff) (USD),Taxi 1km (Normal Tariff) (USD),Taxi 1hour Waiting (Normal Tariff) (USD),Gasoline (1 liter) (USD),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) (USD),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) (USD),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment (USD)",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) (USD),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (USD)","Fitness Club, Monthly Fee for 1 Adult (USD)",Tennis Court Rent (1 Hour on Weekend) (USD),"Cinema, International Release, 1 Seat (USD)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (USD)","International Primary School, Yearly for 1 Child (USD)",1 Pair of Jeans (Levis 501 Or Similar) (USD),"1 Summer Dress in a Chain Store (Zara, H&M, …) (USD)",1 Pair of Nike Running Shoes (Mid-Range) (USD),1 Pair of Men Leather Business Shoes (USD),Apartment (1 bedroom) in City Centre (USD),Avg rent(1 bedroom),Apartment (1 bedroom) Outside of Centre (USD),Avg rent(3 Bedroom),Apartment (3 bedrooms) in City Centre (USD),Apartment (3 bedrooms) Outside of Centre (USD),Avg Price per SQ/Mtr,Price per Square Meter to Buy Apartment in City Centre (USD),Price per Square Meter to Buy Apartment Outside of Centre (USD),Average Monthly Net Salary (After Tax) (USD),"	Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",Data quality
Africa,Nigeria,Abuja,30.49,35.99,33.65,9.34,9.34,3.38,39.43,5.63,1.13,1.58,2.14,0.52,0.25,2.93,1.45,2.99,1.99,6.57,5.45,5.73,4.13,1.75,0.53,1.39,3.21,1.63,1.35,0.43,6.76,1.13,1.37,1.13,0.79,25.91,1.13,0.68,5.63,0.4,23036.02,31540.77,31.54,0.05,55.48,38.3,7.89,7.89,183.99,3689.14,21.68,37.17,47.31,74.35,2275.44,1672.785,1070.13,4247.68,5932.67,2562.69,11839.05,12165.72,11512.38,179.67,17.67,1
Asia,Qatar,Doha,62.81,48.2,54.97,93.67,93.67,8.24,54.93,6.87,12.36,13.05,5.45,1.09,0.36,1.99,1.63,1.89,2.81,10.88,7.17,11.26,1.97,1.75,1.7,1.46,1.09,0.95,1.49,0.53,21.97,2.34,6.81,6.73,0.55,41.2,2.2,0.55,9.61,0.57,20598.74,20038.51,121.51,0.24,90.46,109.91,30.77,10.99,778.54,10347.58,64.23,53.56,98.7,96.41,1827.5,1504.535,1181.57,2876.955,3481.03,2272.88,4617.55,4995.19,4239.91,3276.33,3.88,1
Africa,Senegal,Dakar,50.25,22.97,42.17,23.45,23.45,7.92,54.63,7.92,2.38,3.17,3.28,1.09,0.8,1.85,0.41,0.82,2.03,11.56,9.74,7.55,2.02,1.35,1.85,1.2,1.06,0.85,1.11,0.73,8.71,0.98,1.73,1.43,0.36,19.79,2.38,1.58,12.67,1.32,26127.48,25863.57,92.47,0.14,48.1,71.65,10.56,7.92,167.15,5185.91,44.97,31.67,75.69,87.88,664.14,625.745,587.35,1175.445,1456.93,893.96,10296.87,8956.85,11636.89,435.46,8.75,1
Africa,Rwanda,Kigali,31.62,15.9,27.71,26.82,26.82,2.52,36.59,7.32,0.91,1.83,2.39,0.7,0.53,0.68,0.95,1.02,1.36,4.41,4.82,3.09,3.45,1,1.63,0.9,0.33,0.8,0.66,0.69,8.23,0.93,1.2,1.6,0.32,11.89,2.74,1.14,9.15,1.24,21956.17,12807.77,48.51,0.06,30.99,33.39,5.72,4.57,137.58,1599.26,22.3,27.55,32.93,47.46,428.83,354.1,279.37,935.25,1251.81,618.69,11515.1,2812.22,20217.98,360.56,17.62,1
North America,Honduras,Tegucigalpa,40.46,10.28,34.73,32.09,32.09,4,24.51,6,1.1,2.42,1.51,0.74,0.72,0.98,1.55,1.33,1.81,3.44,3.38,6.13,3.51,1.73,2.02,1.6,1.39,1.47,0.82,1.02,8,1.3,1.98,2.22,0.5,53.82,3.2,2.73,5,1.08,20000,21932.28,72.91,0.14,58.98,39.2,13.44,4.9,201.12,5154.95,49.65,47.61,87.48,84.63,435.5,361.78,288.06,750.98,965.03,536.93,1000.645,1165.03,836.26,516.15,11.5,1
Africa,Libya,Tripoli,48.35,12.89,54.03,33.25,33.25,6.13,35.3,4.09,0.86,0.86,0.59,0.54,0.19,0.91,0.36,1.09,1.45,6.04,4.01,8.29,1.82,1.14,0.82,0.6,0.61,0.57,0.51,0.27,1.53,0.69,0.77,2.35,0.25,22.78,1.02,0.61,6.13,0.03,12267.21,10963.31,17.11,0.05,23,28.62,15.14,5.07,63.18,1150.05,37.82,28.75,48.39,63.38,248.91,199.97,151.03,374.55,485.58,263.52,886.58,1314.23,458.93,296.46,15.5,1
Europe,Denmark,Copenhagen,84.12,33.23,68.6,99.45,99.45,19.55,111.74,11.87,6.98,6.91,5.91,3.2,2.64,1.79,2.83,2.48,4.2,11.53,10.31,14.77,2.76,2.47,2.57,3.86,1.73,1.4,1.8,1.13,9.78,1.72,2.23,8.38,3.35,75.42,6.29,2.1,83.8,2.17,39107.33,37350.11,200.85,0.14,36.22,40.09,24.44,16.76,476.52,8128.74,105.17,50.67,113.99,155.3,1705.63,1492.2,1278.77,2289.44,2593.58,1985.3,6532.19,7693.77,5370.61,3595.94,1.69,1
Asia,Armenia,Yerevan,33.89,11.61,27.59,28.86,28.86,7.5,37.52,6.95,1.5,2.25,2.84,0.94,0.47,1.37,0.65,2.38,2.29,7.18,6.54,10.47,1.18,1.68,1.76,2.04,0.77,0.73,0.59,0.63,7.5,1.16,1.77,2.06,0.25,10.87,1.5,0.25,3,1.31,23760.89,28517.06,93.01,0.05,19.48,69.95,15.22,6.25,294.99,7704.28,74.35,50.01,110.77,98.55,965.5,808.02,650.54,1241.18,1556.73,925.63,1728.475,2353.85,1103.1,513.02,12.11,1
Africa,Tunisia,Tunis,27.87,5.32,27.36,27.83,27.83,2.78,15.45,4.63,1.54,2.16,0.78,0.52,0.24,0.43,0.16,0.78,1.07,8.63,4.45,9.49,1.53,1.84,0.81,0.55,0.51,0.44,0.33,0.24,4.94,1.18,1.01,2.78,0.22,13.9,0.17,0.31,4.63,0.7,35377.72,30606.77,51.78,0.07,19.65,26.28,8.5,4.63,94.91,2768.42,39.65,45.56,89.08,71.81,214.79,188.04,161.29,343.93,409.08,278.78,782.925,886.1,679.75,258.24,12.25,1
Asia,Nepal,Kathmandu,28.29,3.96,26.45,22.96,22.96,2.29,22.95,7.65,2.37,3.06,1.44,0.44,0.18,0.76,0.5,0.79,1.56,7.89,3.23,3.97,2.19,0.95,1.27,0.64,0.49,0.62,0.31,0.25,7.65,2.16,3.15,3.06,0.19,4.59,2.29,0.76,3.82,1.17,29834.64,47370.58,26.14,0.02,12.11,28.01,7.94,3.82,80.51,3086.97,24.61,31.17,46.94,41.34,168.6,138.84,109.08,283.665,350.42,216.91,1289.155,1773.95,804.36,200.43,12.44,1
North America,Nicaragua,Managua,39.64,8.68,38.13,17.63,17.63,5,30,5.5,1.9,2.32,1.9,0.76,0.83,1,1.46,1.09,1.92,3.7,5.06,8.08,4.81,1.42,1.71,1.53,1.49,1.21,0.75,0.71,11.28,1.02,2.25,3.35,0.1,10,2,1.33,6.05,1.25,16000,23250,68.97,0.34,58.25,31.03,30,6.15,166.3,4516.5,54.43,42.7,79.34,88.96,235.71,208.48,181.25,421.19,458.28,384.1,772.215,905.56,638.87,358.51,12.12,1
